# Google_Product_Taxonomy_Version: 2015-02-19
Adultos
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Misturas para saladas
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Repolhos chineses
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Rúcula
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes frescos e congelados > Verduras > Yu choy
Alimentos, bebidas e tabaco > Alimentos > Frutas e vegetais > Legumes secos
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Amaranto
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Arroz
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Aveias, grãos e farinha de aveia
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Centeio
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Cereais e granola
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Cevada
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Cuscuz
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Milhete
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Quinoa
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Trigo
Alimentos, bebidas e tabaco > Alimentos > Grãos, arroz e cereais > Trigo-sarraceno
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Amido ou fécula
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Aromatizantes e extratos para confeitaria
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Açúcar e adoçantes
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Açúcar para algodão doce
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Bicarbonato de sódio
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Chips para assados
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Chocolate amargo
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Coberturas e glacê
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Corantes alimentares
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Crocantes de pão
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Culturas de fermentação
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Decorações de bolo comestíveis
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Farinha
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Farinha de trigo integral
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Fermento
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Fermento em pó químico
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Gelatina sem sabor
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Gordura vegetal e animal
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Kits de decoração de biscoitos
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Leite condensado e em pó
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Marshmallows
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Massas
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Massas > Crostas de torta
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Massas > Massa para cookies e brownies
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Massas > Massa para pães e bolos
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Melaço
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Misturas para bolo
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Misturas para massa e cobertura
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Misturas para waffles e panquecas
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Pasta de tomate
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Pastas e molhos de feijão
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Pérolas de tapioca
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Recheios para tortas
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Suco de limão
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Vinagre
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Vinho para culinária
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Xarope de milho
Alimentos, bebidas e tabaco > Alimentos > Ingredientes para cozidos e assados > Óleos de cozinha
Alimentos, bebidas e tabaco > Alimentos > Lacticínios
Alimentos, bebidas e tabaco > Alimentos > Lacticínios > Chantili
Alimentos, bebidas e tabaco > Alimentos > Lacticínios > Creme
Alimentos, bebidas e tabaco > Alimentos > Lacticínios > Creme azedo
Alimentos, bebidas e tabaco > Alimentos > Lacticínios > Cremeira para café
Alimentos, bebidas e tabaco > Alimentos > Lacticínios > Iogurte
Alimentos, bebidas e tabaco > Alimentos > Lacticínios > Manteiga e margarina
Alimentos, bebidas e tabaco > Alimentos > Lacticínios > Queijo
Alimentos, bebidas e tabaco > Alimentos > Lacticínios > Queijo cottage
Alimentos, bebidas e tabaco > Alimentos > Massas e talharins
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Compotas e geléias
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Guacamole
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Homus
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Manteiga de maçã
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Manteigas de karité
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Molho mexicano
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Molho vegetariano
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Molhos à base de queijo
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Queijo cremoso
Alimentos, bebidas e tabaco > Alimentos > Molhos e pastas > Tapenade
Alimentos, bebidas e tabaco > Alimentos > Nozes e sementes
Alimentos, bebidas e tabaco > Alimentos > Padaria
Alimentos, bebidas e tabaco > Alimentos > Padaria > Bagels
Alimentos, bebidas e tabaco > Alimentos > Padaria > Bandejas de pães, bolos e sobremesas
Alimentos, bebidas e tabaco > Alimentos > Padaria > Biscoitos
